algo,n,repeat,elapsed_ms,comparisons,swaps,max_rec_depth
mergesort,128,0,3,1348,985,3
mergesort,128,1,0,1315,948,3
mergesort,128,2,0,1369,1008,3
mergesort,312,0,0,2932,1466,5
mergesort,312,1,0,2810,1329,5
mergesort,312,2,0,2895,1435,5
mergesort,760,0,2,8707,4315,6
mergesort,760,1,1,8727,4344,6
mergesort,760,2,0,8519,4144,6
mergesort,1854,0,1,26030,13432,7
mergesort,1854,1,1,25590,12985,7
mergesort,1854,2,1,25466,12880,7
mergesort,4522,0,2,58383,19046,9
mergesort,4522,1,2,57912,18569,9
mergesort,4522,2,2,58238,18953,9
mergesort,11025,0,8,163833,56469,10
mergesort,11025,1,8,164449,57100,10
mergesort,11025,2,13,164053,56632,10
mergesort,26880,0,20,459236,169535,11
mergesort,26880,1,19,459418,169627,11
mergesort,26880,2,12,459726,169982,11
mergesort,65536,0,46,1283607,509484,12
mergesort,65536,1,29,1284871,510790,12
mergesort,65536,2,37,1280031,505786,12
